benefitamount (DEV Raw),benefitamount (QA Raw),,benefittyperaw (DEV Raw),benefittyperaw (QA Raw),termcode (DEV Raw),termcode (QA Raw),recordactivitydate (DEV Raw),recordactivitydate (QA Raw),personid (DEV Raw),personid (QA Raw)
300.0,500.0,,FFPG,NAVP,200510,200810.0,08/24/98,08/05/99,3004,32870.0
450.0,188.0,,FFPG,FSEG,199910,200310.0,07/15/04,04/03/07,200,399.0
975.0,1000.0,,FFPG,FSEG,200610,201310.0,03/25/03,08/01/04,30117,34534.0
1400.0,2000.0,,FFPG,FSEG,199610,200120.0,08/22/05,03/01/12,2836,32616.0
125.0,2000.0,,FFPG,FSEG,200610,201110.0,10/03/05,08/29/11,30811,40674.0
1480.0,-125.0,,FFPG,FSEG,200310,200920.0,09/27/05,11/05/13,1454,3139.0
1250.0,750.0,,FFPG,FSEG,200510,200910.0,12/01/04,09/24/08,3071,32925.0
750.0,250.0,,FSEG,ARMP,200320,200720.0,10/15/03,04/13/06,890,1877.0
250.0,157.0,,FFPG,FSEG,200610,200920.0,10/10/03,12/01/05,3071,32954.0
-212.0,750.0,,FFPG,FSEG,200510,200810.0,06/22/03,11/11/04,2496,31986.0
300.0,125.0,,FFPG,FSEG,200310,200910.0,07/15/04,03/14/07,1366,3139.0
250.0,1000.0,,FFPG,FSEG,199910,200410.0,08/17/05,09/30/09,2498,32082.0
-100.0,500.0,,FFPG,FSEG,199810,200310.0,08/03/04,04/25/07,1331,3071.0
1025.0,2000.0,,FFPG,FSEG,200610,201210.0,01/03/08,10/02/07,30090,34518.0
1000.0,500.0,,FFPG,NAVP,200310,200810.0,10/13/05,07/20/15,1035,2788.0
1400.0,2000.0,,FFPG,FSEG,200610,200720.0,12/31/97,04/26/98,2092,31218.0
1150.0,-100.0,,FFPG,FSEG,200410,200610.0,10/31/05,03/10/10,1342,3071.0
1250.0,250.0,,FFPG,FSEG,199910,200510.0,07/14/04,03/13/07,904,2255.0
1550.0,1900.0,,FFPG,FSEG,200310,200610.0,04/16/04,09/07/06,399,693.0
250.0,1000.0,,FFPG,FSEG,200510,200910.0,01/03/08,09/01/11,1735,30500.0
1280.0,-1053.0,,FFPG,FSEG,199910,200310.0,01/03/08,03/08/07,2849,32616.0
650.0,1000.0,,FFPG,FSEG,200610,200910.0,07/26/05,05/23/07,1710,30400.0
2000.0,1900.0,,FFPG,FSEG,200210,200510.0,02/06/03,01/03/08,1865,30543.0
2100.0,375.0,,FFPG,FSEG,200510,200910.0,02/27/06,02/06/13,1277,3004.0
600.0,250.0,,FFPG,FSEG,199610,199810.0,12/03/04,08/14/06,2853,32625.0
250.0,-375.0,,FFPG,FSEG,200510,200710.0,07/10/05,03/08/11,3071,32971.0
1000.0,1250.0,,FFPG,FSEG,200110,200510.0,04/17/04,10/25/06,1922,30806.0
150.0,1000.0,,FFPG,FSEG,200410,200810.0,07/28/05,12/04/08,649,897.0
2000.0,375.0,,FFPG,FSEG,200510,200810.0,05/19/05,04/18/10,654,901.0
600.0,1000.0,,FFPG,FSEG,200510,200920.0,10/03/05,04/08/13,1277,2922.0
-375.0,281.0,,FFPG,FSEG,200110,200410.0,01/04/05,10/20/07,30265,35866.0
1000.0,750.0,,FFPG,NAVP,199910,200410.0,04/02/02,12/15/06,30674,39758.0
502.0,250.0,,FFPG,FSEG,200510,200810.0,03/01/01,09/14/04,3004,32867.0
1125.0,1000.0,,FFPG,FSEG,200510,200810.0,04/26/98,04/02/02,2112,31271.0
600.0,125.0,,FSEG,NAVP,200610,200910.0,10/11/05,07/20/15,3004,32866.0
1000.0,250.0,,FFPG,FSEG,199810,199910.0,02/06/08,10/26/07,245,654.0
1130.0,250.0,,FFPG,FSEG,200410,200810.0,06/10/04,12/06/06,2124,31394.0
2000.0,4669.0,,FFPG,FSEG,200410,200920.0,08/05/99,04/16/04,2620,32171.0
300.0,1500.0,,FFPG,FSEG,199910,200510.0,08/06/99,06/10/04,762,1196.0
725.0,750.0,,FFPG,FSEG,200610,201010.0,08/16/05,07/12/07,399,709.0
600.0,750.0,,FFPG,FSEG,200810,201110.0,08/05/99,10/10/03,30334,36025.0
500.0,600.0,,FFPG,FSEG,199810,199910.0,05/07/03,10/14/05,516,762.0
750.0,250.0,,FFPG,FSEG,200410,200610.0,02/24/98,08/05/99,30824,40714.0
600.0,2000.0,,FFPG,FSEG,200510,200710.0,09/22/00,09/09/04,2789,32559.0
645.0,500.0,,FFPG,FSEG,200710,200820.0,09/13/05,09/26/11,240,626.0
1837.0,2000.0,,FFPG,FSEG,200610,201210.0,03/25/03,09/13/05,2849,32618.0
